text,true_label,pred_label
nhà hàng điều khoản khác Có máy lạnh phà phà mát mẽ vô cùng luôn đó nha hihi.,2,2
nhà hàng giá tiền - Giá cả phải chăng.,2,2
"phục vụ tổng quát Nhân viên thân thiện, vui vẻ, phục vụ nhanh.",2,2
phục vụ tổng quát Phục vụ quáaaaa lâu.,0,0
"thức ăn loại Thức ăn khá đa dạng, nêm nếm gia vị đậm đà.",2,2
"thức ăn chất lượng Thức ăn khá đa dạng, nêm nếm gia vị đậm đà.",2,2
"đồ uống chất lượng Mình còn gọi 1 loại nữa là cafe chuối thực sự tệ, ăn xong waffle rồi chuyển qua loại này hãi dã man, chuối vẫn còn xanh được cắt lát ra, ăn zớt zớt ghê vaiz.",0,2
"thức ăn chất lượng Mình còn gọi 1 loại nữa là cafe chuối thực sự tệ, ăn xong waffle rồi chuyển qua loại này hãi dã man, chuối vẫn còn xanh được cắt lát ra, ăn zớt zớt ghê vaiz.",0,2
không gian tổng quát Trong nhà có bàn sopha nhưng ngồi đông thì hợp lý hơn nên mình ra ngoài ngắm phố thành ra lạnh teo :(.,1,1
"thức ăn chất lượng Bù lại nước lẩu thanh, có vị chua chua cay cay của kim chi rất ngon, rau và nấm tươi, trông sạch sẽ, thịt bò thơm và mềm.",2,2
"thức ăn loại Bù lại nước lẩu thanh, có vị chua chua cay cay của kim chi rất ngon, rau và nấm tươi, trông sạch sẽ, thịt bò thơm và mềm.",1,1
"thức ăn chất lượng Mì Ý thì hơi chua, mình cho 3 lần muối vào vẫn thấy chua.",1,0
"thức ăn loại Mình thấy quán này ăn được, lúc nào cũng đông nha, không gian hơi chật một chút, nhưng vị hủ tiếu ở đây khá ổn, ăn khô thì nhân viên kèm theo chén nước lèo có thịt có tôm trong đó, thơm ngon hấp dẫn.",2,2
"thức ăn chất lượng Mình thấy quán này ăn được, lúc nào cũng đông nha, không gian hơi chật một chút, nhưng vị hủ tiếu ở đây khá ổn, ăn khô thì nhân viên kèm theo chén nước lèo có thịt có tôm trong đó, thơm ngon hấp dẫn.",2,2
"không gian tổng quát Mình thấy quán này ăn được, lúc nào cũng đông nha, không gian hơi chật một chút, nhưng vị hủ tiếu ở đây khá ổn, ăn khô thì nhân viên kèm theo chén nước lèo có thịt có tôm trong đó, thơm ngon hấp dẫn.",0,2
"nhà hàng tổng quát Mình thấy quán này ăn được, lúc nào cũng đông nha, không gian hơi chật một chút, nhưng vị hủ tiếu ở đây khá ổn, ăn khô thì nhân viên kèm theo chén nước lèo có thịt có tôm trong đó, thơm ngon hấp dẫn.",1,2
"thức ăn loại Có thể lấy gói tương ớt, tương cà đóng gói sẵn hoặc phun trực tiếp luôn.",1,2
đồ uống loại Ly trà sữa rất đầy.,2,2
"thức ăn chất lượng Ramen không chuẩn vị nhật, dùng mì trứng mà mình rất là ghét.",0,0
"thức ăn loại Ramen không chuẩn vị nhật, dùng mì trứng mà mình rất là ghét.",1,0
"phục vụ tổng quát Định gọi tính tiền xong rồi bạn bè ngồi lại nói chuyện chút, nhưng nhân viên ra dọn bàn với thái độ khó chịu như đuổi khách.",0,0
phục vụ tổng quát Phục vụ ok mà mùi vị ổn định và ngon nữa.,2,2
nhà hàng tổng quát Phục vụ ok mà mùi vị ổn định và ngon nữa.,2,2
phục vụ tổng quát Bánh giao nhanh !,2,2
"phục vụ tổng quát Đã bực vì đợi lâu rồi mà còn nhìn mặt chỉ làm mất ngon kinh khủng,lúc đấy thực sự muốn chửi lắm :).",0,0
thức ăn chất lượng Phần ăn vừa và không bị mặn quá.,0,2
"đồ uống chất lượng Phin Coffee Freeze đắng, đậm vị cafe, bạn nào không uống được cafe thì đừng uống vị này nha.",2,2
thức ăn loại Bánh su ngon nhưng lượng kem bên trong không đồng đều giữa các bánh.,1,2
thức ăn chất lượng Bánh su ngon nhưng lượng kem bên trong không đồng đều giữa các bánh.,2,2
"đồ uống loại Mình lúc nào cũng kêu 1 loại đó là trà sữa trà xanh size L, thêm thạch trái cây và milkfoam lâu lâu hứng thì thêm pudding hoặc đổi size M.",1,1
"thức ăn loại Quán có thực đơn đơn giản:chả cá là món chính, ngoài ra còn có canh cá, cháo cá, đồ uống có đầy đủ các loại.",2,1
"đồ uống loại Quán có thực đơn đơn giản:chả cá là món chính, ngoài ra còn có canh cá, cháo cá, đồ uống có đầy đủ các loại.",2,1
"vị trí tổng quát Ngày xưa quán bán ở ngã tư Cô Giang, Đề Thám.",1,1
thức ăn loại Nuôi xào thì khô có mấy miếng thịt bò.,0,0
thức ăn chất lượng Nuôi xào thì khô có mấy miếng thịt bò.,0,1
"thức ăn loại Hôm nay mới mua 1 hộp 30k có 12 viên và thêm xôi lá sen( mon khoai khau cua minh ^ ^), quá no và vẫn ngon như trước.",1,1
"thức ăn giá tiền Hôm nay mới mua 1 hộp 30k có 12 viên và thêm xôi lá sen( mon khoai khau cua minh ^ ^), quá no và vẫn ngon như trước.",1,1
"thức ăn chất lượng Hôm nay mới mua 1 hộp 30k có 12 viên và thêm xôi lá sen( mon khoai khau cua minh ^ ^), quá no và vẫn ngon như trước.",2,2
nhà hàng tổng quát Mình đã cảm thấy đây đúng là hàng ăn có tâm nhất quả đất 😋.,2,2
"thức ăn loại Về món lẩu thì nước lẩu thái chua chua cay cay, có rất nhiền ahri sản tôm, mực, ghẹ rồi cá viên, .",2,1
"thức ăn chất lượng Về món lẩu thì nước lẩu thái chua chua cay cay, có rất nhiền ahri sản tôm, mực, ghẹ rồi cá viên, .",2,1
"nhà hàng giá tiền Giá rất hợp với học sinh, sinh viên.",2,2
thức ăn giá tiền - Canh thập cẩm( 22 k):mình k nghĩ là phần canh nhiêu nv.,1,1
thức ăn loại - Canh thập cẩm( 22 k):mình k nghĩ là phần canh nhiêu nv.,2,2
"đồ uống chất lượng Tuỳ món thức uống ngon, trà thơm, nhưng có món trà xanh thì đắng ngắt hơi khó uống, trân châu tím thơm mùi khoai môn, ly khuyến mãi lâng lâng chứ không được đầy đặn như mong đợi.",2,2
"đồ uống loại Tuỳ món thức uống ngon, trà thơm, nhưng có món trà xanh thì đắng ngắt hơi khó uống, trân châu tím thơm mùi khoai môn, ly khuyến mãi lâng lâng chứ không được đầy đặn như mong đợi.",1,1
"đồ uống loại Vẫn món cũ yêu thích:trà sữa earl grey + trân châu trắng + milk foam 50 % đường 100 % đá, sự kết hợp quá hoàn hảo ^ ^.",2,1
"thức ăn loại Tré khá lạ lẫm khi mình ăn lần đầu, thấy khá giống nem chua của ngoài mình nhưng bì thái dầy, chua chua mà lai dai ly bia thì đỉnh của đỉnh >,,<",2,2
"thức ăn chất lượng Tré khá lạ lẫm khi mình ăn lần đầu, thấy khá giống nem chua của ngoài mình nhưng bì thái dầy, chua chua mà lai dai ly bia thì đỉnh của đỉnh >,,<",2,0
"thức ăn loại Giá cả hợp lý, nhiều món để lựa chọn 👍.",2,2
"nhà hàng giá tiền Giá cả hợp lý, nhiều món để lựa chọn 👍.",2,2
thức ăn loại Steak có nhiều lựa chọn hơn những quán khác.,2,2
nhà hàng giá tiền 💰 30-50 k / người.,1,1
"thức ăn chất lượng ĐỒ ĂN NGON BÁ ĐẠO Hải sản đa dạng, tươi dễ sợ luôn, mình chọn lúc mấy ẻm còn bơi tung tăng trong hồ cơ.",2,2
"thức ăn loại ĐỒ ĂN NGON BÁ ĐẠO Hải sản đa dạng, tươi dễ sợ luôn, mình chọn lúc mấy ẻm còn bơi tung tăng trong hồ cơ.",2,2
"thức ăn loại Ở đây có các loại chè, sữa chua mít, hoa quả, trà chái, khoai lang, khoai tây chiên, nem chua rán, phô mai, bánh rán mặn, bánh trôi tàu.",1,1
"không gian tổng quát Đi từ bên ngoài vào là không gian xanh với nhiều chùm cây giả treo trên tường, chỗ này là ngồi ngoài trời đón nắng đón gió luôn =))))).",2,2
thức ăn chất lượng Đồ ăn:Đôi với mấy bạn có thể nó có thể giống cơm nhà.,1,1
đồ uống loại Đầu tiên mình nói về trà:mình cực kì yêu em alisan gong cha thêm trân châu trắng nữa là hết sảy.,2,1
"phục vụ tổng quát Mình order qua dịch vụ delivery của foody nên rất tiện lợi, nhanh gọn lẹ, mở lên chọn món có người xác nhận rồi ngồi chờ sẽ có người giao tận răng, quá nhanh qá nguy hiểm.",2,2
nhà hàng tổng quát Chưa bh thất vọng khi ăn ở đây.,2,2
không gian tổng quát Nên lần này đi chi nhánh mới siêu đẹp của L ' usine luôn.,2,2
đồ uống loại Nước có size khổng lồ uống mệt nghỉ luôn.,2,0
"thức ăn loại - sườn bò mỹ nướng sốt bbq 125k: sườn bò có chỗ hơi dai, nhưng 1 phần chất lượng miếng thịt to, sốt nhiều, vị vừa ăn, thịt thấm mềm, không bị khô.",2,2
"thức ăn giá tiền - sườn bò mỹ nướng sốt bbq 125k: sườn bò có chỗ hơi dai, nhưng 1 phần chất lượng miếng thịt to, sốt nhiều, vị vừa ăn, thịt thấm mềm, không bị khô.",1,1
"thức ăn chất lượng - sườn bò mỹ nướng sốt bbq 125k: sườn bò có chỗ hơi dai, nhưng 1 phần chất lượng miếng thịt to, sốt nhiều, vị vừa ăn, thịt thấm mềm, không bị khô.",2,2
"thức ăn loại Sốt vang hơi chát không hợp khẩu vị mình lắm, sốt nấm thì bình thường không có gì đặc biệt khi ăn với bò, cảm thấy hợp hơn khi ăn với salad giấm, còn sốt trứng là mình thích nhất, vị giống như bơ nhưng ít ngấy hơn, ngọt ngọt béo béo nhẹ.",1,1
"thức ăn chất lượng Sốt vang hơi chát không hợp khẩu vị mình lắm, sốt nấm thì bình thường không có gì đặc biệt khi ăn với bò, cảm thấy hợp hơn khi ăn với salad giấm, còn sốt trứng là mình thích nhất, vị giống như bơ nhưng ít ngấy hơn, ngọt ngọt béo béo nhẹ.",1,1
"đồ uống chất lượng Mình thích nhất milkfoam của Gongcha, mằn mặn beo béo, kết hợp với vị trà xanh hơi ngọt rất là ngon.",2,2
"đồ uống loại Mình thích nhất milkfoam của Gongcha, mằn mặn beo béo, kết hợp với vị trà xanh hơi ngọt rất là ngon.",2,1
đồ uống chất lượng Chê thế đủ rồi đến phần khen:còn cốc hồng trà kem mặn thì cứ phải gọi là xuất sắc😍😍😍.,2,2
"phục vụ tổng quát Nhân viên thân thiện, xinh xắn.",2,2
thức ăn giá tiền Giá so với món ăn và chất lượng thì quá hợp lý rồi.,2,2
"thức ăn chất lượng Thịt bò mềm, ngon, thấm vị.",2,2
"đồ uống loại Em quai được làm khá chắc chắn, đơn giản nhưng trông xịn, mịn, sang vô cùng.",2,2
đồ uống loại Mình thích Mango Tea và Hershey Premium ở đây( hoặc do mình chỉ mới thử hai cái đó ahihi).,1,1
phục vụ tổng quát Còn k thì có thể gọi nhân viên lấy cho thịt và hải sản nhưng phải chờ hơi lâu.,0,0
nhà hàng giá tiền Chất lượng ổn tuy nhiên giá thành không phải rẻ.,1,0
nhà hàng tổng quát Chất lượng ổn tuy nhiên giá thành không phải rẻ.,2,2
"không gian tổng quát Không biết mùi gì, nhưng bước vào là đã phà vào trong mũi.",1,1
nhà hàng điều khoản khác Mọi thức uống size Tall đều giảm còn 50k và số sao tích luỹ được x5.,2,2
"nhà hàng tổng quát Gần gũi, dễ nói chuyện, riêng tư, kín đáo 👍.",2,2
phục vụ tổng quát Không gian nhỏ mà phục vụ cũng lâu ý.,0,0
không gian tổng quát Không gian nhỏ mà phục vụ cũng lâu ý.,0,0
"thức ăn loại Mình gọi 1 mì xào phá lấu, 1 mì phá lấu 2 vắt và 1 há cảo chiên.",1,1
nhà hàng giá tiền 💸💸💸 giá thuộc dạng trên trung bình.,1,1
đồ uống loại 1 ly nước free refill.,2,2
thức ăn loại Phần 150gr thì hơi mỏng nên làm well sẽ bị hơi khô.,0,1
thức ăn chất lượng Phần 150gr thì hơi mỏng nên làm well sẽ bị hơi khô.,1,0
"thức ăn loại Hôm đấy mình gọi 2 pizza, 1 mý ý, bánh mì nướng và salad.",1,1
phục vụ tổng quát Phục vụ hơi chậm tí nhưng bỏ qua được.,0,0
"thức ăn chất lượng Mùi thịt thơm, cắt thử 1 miếng khi chưa rưới sốt, ăn thấy thịt ngọt, có 1 độ mặn nhất định rồi.",2,2
thức ăn loại Mình gọi nồi lẩu nắm bắp bò.,1,1
nhà hàng tổng quát Quán đông khách mà nhân viên có vài người nên các bạn quên tới quên lui hoặc do bếp quên mình ko biết.,1,1
phục vụ tổng quát Quán đông khách mà nhân viên có vài người nên các bạn quên tới quên lui hoặc do bếp quên mình ko biết.,0,1
"vị trí tổng quát Lần này biết đường rồi nên dễ đi hơn, từ CMT8 quẹo vào Ngô Thời Nhiệm rồi quẹo qua Lê Ngô Cát sẽ tiện hơn, đi Điện Biên Phủ đông xe.",1,1
"không gian tổng quát Không gian:khá thoải mái, mình thích ngồi ở bàn có thể nhìn ra đường mà đèn của quán chiếu vào bị chói mắt, hy vọng quán khắc phục vấn đề này.",2,2
đồ uống chất lượng Mình uống thấy vẫn thơm vị cafe nhưng mùa đông rồi nhìn đống đá này ngại quá.,2,2
thức ăn chất lượng Bạn mình gọi toast mật ong cũng ngon lắm.,2,2
nhà hàng giá tiền Nhà mình gọi 1 combo sinh nhật 345k kèm 2 pizza size M 4 đồ uống và sau gọi thêm 1 suất spaghetti.,1,1
vị trí tổng quát Hoặc mua tại 244 Cống Quỳnh q1.,1,1
"thức ăn chất lượng Bò topbalde mình sốt tiêu, bò vị nhạt vừa ăn, tái vừa, chấm sốt tiêu ăn vào tới đâu trỗi vị giác tới đó hihi.",2,2
"thức ăn loại Bò topbalde mình sốt tiêu, bò vị nhạt vừa ăn, tái vừa, chấm sốt tiêu ăn vào tới đâu trỗi vị giác tới đó hihi.",2,1
"thức ăn chất lượng Chất lượng món ăn không ngon như trước, các món ăn thì bình thường không có gì đặc biệt.",1,1
thức ăn loại Mình gọi bánh canh cỡ nhỡ 55k 1 bát và 2 hàu phomai 2 hàu nướng mỡ hành.,1,1
thức ăn giá tiền Mình gọi bánh canh cỡ nhỡ 55k 1 bát và 2 hàu phomai 2 hàu nướng mỡ hành.,1,1
"vị trí tổng quát Không gian quán cũng tạm ổn, đường Lê Đại Hành thì rộng rãi, ít kẹt xe mà dễ tìm nữa.",2,2
"không gian tổng quát Không gian quán cũng tạm ổn, đường Lê Đại Hành thì rộng rãi, ít kẹt xe mà dễ tìm nữa.",1,2
"nhà hàng giá tiền 1 quán quen thuộc vì giá cũng thuộc tầm trung, chấp nhận được với túi tiền và chất lượng nên khi thèm steak thì mình và bạn lại tới đây.",1,1
"vị trí tổng quát Quán cũng dễ tìm, gửi xe trước quán có người trông, có thẻ xe và miễn phí.",2,2
"nhà hàng điều khoản khác Quán cũng dễ tìm, gửi xe trước quán có người trông, có thẻ xe và miễn phí.",2,2
"thức ăn chất lượng Khoai ăn dẻo, bùi và ngọt lẫn với sữa chua khá hoà vị, không ngấy và ngọt quá.",2,2
"nhà hàng điều khoản khác Điểm giữ xe thì khá xa, mất 10 ' ' để tìm được xe mình và phí giữ xe là 10k.",0,0
"nhà hàng tổng quát Mình đi tối thứ 6, tầm 7pm, quán đông lắm mà đợi thì không lâu đâu.",2,1
"phục vụ tổng quát Mình đi tối thứ 6, tầm 7pm, quán đông lắm mà đợi thì không lâu đâu.",2,2
"thức ăn loại Nước sốt sền sệt, bánh đa thơm béo( ai giảm cân thì nên cân nhắc ạ 😆).",1,1
"thức ăn chất lượng Nước sốt sền sệt, bánh đa thơm béo( ai giảm cân thì nên cân nhắc ạ 😆).",2,2
"nhà hàng giá tiền 🧀 Giá cả:từ 10, 15k.",1,1
thức ăn chất lượng Mỗi tội gà nhạt quá.,0,0
nhà hàng giá tiền Giá cả ăn có voucher thì cũng ok.,1,2
"đồ uống chất lượng Đến phần ord thì tụi mình gọi Thai tea kakigori (trời phải nói món này ngon dễ sợ, là bingsu luôn á, ngoài ra ở dưới đáy còn độn thêm trân châu trắng và sương sáo, ôi tuyệt vời ông mặt giời, ở trên đỉnh thì phủ một lớp kem béo cùng hạnh nhân xuất sắc luôn, nhắc tới đen đá đối với mình là phải nhắc tới kem béo ở đây, mình bị nghiện >.,,,<).",2,2
